"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","4920.0","513854.694"
"CstoneAuditMessageBolt","81.0","84850.73100000001"
"VitalSignBolt","22054.0","345649.825"
"DVMaxDataExtractorBolt","1015.0","258617.926"
"CornerstoneDataExtractorBolt","68240.0","863903.7990000003"
"PracticePatientBolt","11242.0","172831.72799999994"
"PracticePetOwnerBolt","9346.0","172977.22299999997"
"ExtractMessagePreProcessorBolt","69807.0","86367.83499999999"
"EntityMapDiscriminatorBolt","575007.0","259187.92799999996"
"AvimarkDataExtractorBolt","543.0","259117.72499999998"
"FieldStandardizerBolt","1803638.0","345591.4970000001"
"PetOwnerPatientBolt","15206.0","345998.299"
"ReminderTypeBolt","138.0","174827.86299999995"
"MedicalNoteFileProcessorBolt","808.0","501033.269"
"MedicalNoteBolt","479.0","180001.36200000002"
"VaccinationPimsBolt","6802.0","345663.03300000005"
"CornerstoneEncryptedFileProcessorBolt","814.0","1453728.084"
"ProductBolt","3941.0","86435.00899999996"
"SoftwareDiscriminatorBolt","69806.0","86396.44000000002"
"PracticeExtractMessageBolt","32303.0","86401.46799999998"
"HashWriterBolt","204082.0","259201.68000000008"
"PersistedMessageFilterBolt","2.268787099E9","2159593.1919999076"
"PracticeLogoFileProcessorBolt","4934.0","86372.588"
"MedicalNoteAttachmentBolt","622.0","177455.847"
"TransactionBolt","23686.0","2246978.2270000004"
"StaffMemberBolt","108.0","83987.798"
"DataLimitingBolt","4.995955645E9","2159750.7379999226"
"MedicalReminderBolt","19813.0","345584.9270000001"
"ItemReminderTypeBolt","118.0","173634.25399999996"
"AppointmentBolt","22356.0","345486.65"
"PrescriptionBolt","19387.0","345583.75100000005"
"AmqpQueueWriterBolt","563637.0","2505453.377000001"
"PracticeBolt","1155.0","86206.14099999999"
"LabResultHeaderBolt","15217.0","345203.56600000005"
"FieldMapperBolt","1803622.0","259194.39400000003"
"PersistenceRoutingBolt","1803615.0","691188.7110000001"
"PracticePatientImageBolt","1239.0","86082.274"
