"bolt","total_messages","total_time"
"PetPictureFileProcessorBolt","177.0","481176.043"
"CstoneAuditMessageBolt","22.0","79041.459"
"DVMaxDataExtractorBolt","1024.0","279908.6069999999"
"VitalSignBolt","8358.0","345564.01499999996"
"CornerstoneDataExtractorBolt","65230.0","946605.3480000001"
"PracticePetOwnerBolt","2323.0","173116.743"
"PracticePatientBolt","2364.0","172899.89299999998"
"ExtractMessagePreProcessorBolt","66861.0","94734.818"
"AvimarkDataExtractorBolt","539.0","275570.76"
"EntityMapDiscriminatorBolt","201560.0","259220.6610000001"
"FieldStandardizerBolt","1084484.0","345629.5870000001"
"PetOwnerPatientBolt","8970.0","345636.38800000004"
"MedicalNoteFileProcessorBolt","154.0","548465.72"
"ReminderTypeBolt","8.0","155918.938"
"MedicalNoteBolt","163.0","169726.814"
"VaccinationPimsBolt","668.0","346307.3030000001"
"CornerstoneEncryptedFileProcessorBolt","148.0","1462030.4429999997"
"ProductBolt","400.0","86482.429"
"PracticeExtractMessageBolt","32173.0","86410.77100000002"
"SoftwareDiscriminatorBolt","66849.0","94680.48800000003"
"HashWriterBolt","88740.0","259230.108"
"PersistedMessageFilterBolt","2.245366495E9","2367972.8909999025"
"MedicalNoteAttachmentBolt","40.0","174048.33500000002"
"PracticeLogoFileProcessorBolt","4845.0","94669.51799999997"
"TransactionBolt","8933.0","2247161.6629999992"
"StaffMemberBolt","6.0","91115.184"
"DataLimitingBolt","4.943939889E9","2368122.066999919"
"ItemReminderTypeBolt","16.0","176123.185"
"MedicalReminderBolt","7948.0","346111.09899999993"
"AppointmentBolt","5866.0","345931.77200000006"
"AmqpQueueWriterBolt","201242.0","2743413.8859999995"
"PrescriptionBolt","3532.0","345528.194"
"PracticeBolt","111.0","86031.78200000002"
"LabResultHeaderBolt","6828.0","345185.64099999995"
"PersistenceRoutingBolt","1084476.0","691278.802"
"FieldMapperBolt","1084454.0","259199.25"
"PracticePatientImageBolt","153.0","85723.868"
